Brand,Name,Codename,Cores,Clock,Socket,Process,L3Cache,TDP,Released
Intel,Core i7-860,Lynnfield,4 / 8,2.8 to 3.466 GHz,Socket 1156,45 nm,8MB,95 W,"Sep 8th, 2009"
Intel,Core i7-870,Lynnfield,4 / 8,2.933 to 3.6 GHz,Socket 1156,45 nm,8MB,95 W,"Sep 8th, 2009"
Intel,Core i7-950,Bloomfield,4 / 8,3.066 to 3.333 GHz,Socket 1366,45 nm,8MB,130 W,"Jun 2nd, 2009"
Intel,Core i7-960,Bloomfield,4 / 8,3.2 to 3.466 GHz,Socket 1366,45 nm,8MB,130 W,"Oct 20th, 2009"
Intel,Core i7-975,Bloomfield,4 / 8,3.333 to 3.6 GHz,Socket 1366,45 nm,8MB,130 W,"Jun 2nd, 2009"
Intel,Pentium Dual-Core E2210,Wolfdale,2,2.2 GHz,Socket 775,45 nm,N/A,65 W,"Jun 1st, 2009"
Intel,Pentium Dual-Core T4200,Penryn,2,2000 MHz,Socket P,45 nm,N/A,35 W,"Jan 1st, 2009"
Intel,Pentium Dual-Core T4300,Penryn,2,2.1 GHz,Socket P,45 nm,N/A,35 W,"Apr 1st, 2009"
Intel,Pentium Dual-Core T4400,Penryn,2,2.2 GHz,Socket P,45 nm,N/A,35 W,"Dec 1st, 2009"
Intel,Pentium E5400,Wolfdale,2,2.7 GHz,Socket 775,45 nm,N/A,65 W,"Jan 18th, 2009"
Intel,Pentium E6300,Wolfdale,2,2.8 GHz,Socket 775,45 nm,N/A,65 W,"May 9th, 2009"
Intel,Pentium E6500,Wolfdale,2,2.933 GHz,Socket 775,45 nm,N/A,65 W,"Aug 9th, 2009"
Intel,Pentium E6500K,Wolfdale,2,2.933 GHz,Socket 775,45 nm,N/A,65 W,"Aug 9th, 2009"
Intel,Pentium SU2700,Penryn,1,1300 MHz,BGA 956,45 nm,N/A,10 W,"Jun 2nd, 2009"
Intel,Pentium SU4100,Penryn,2,1300 MHz,BGA 956,45 nm,N/A,10 W,"Sep 1st, 2009"
Intel,Xeon E5502,Gainestown,2,1866 MHz,Socket 1366,45 nm,4MB,80 W,"Mar 30th, 2009"
Intel,Xeon E5504,Gainestown,4,2000 MHz,Socket 1366,45 nm,4MB,80 W,"Mar 30th, 2009"
Intel,Xeon E5506,Gainestown,4,2.133 GHz,Socket 1366,45 nm,4MB,80 W,"Mar 30th, 2009"
Intel,Xeon E5520,Gainestown,4 / 8,2.266 to 2.533 GHz,Socket 1366,45 nm,8MB,80 W,"Mar 30th, 2009"
Intel,Xeon E5530,Gainestown,4 / 8,2.4 to 2.666 GHz,Socket 1366,45 nm,8MB,80 W,"Mar 30th, 2009"
Intel,Xeon E5540,Gainestown,4 / 8,2.533 to 2.8 GHz,Socket 1366,45 nm,8MB,80 W,"Mar 30th, 2009"
Intel,Xeon L5506,Gainestown,4,2.133 GHz,Socket 1366,45 nm,4MB,60 W,"Mar 30th, 2009"
Intel,Xeon L5508,Gainestown,2 / 4,2 to 2.4 GHz,Socket 1366,45 nm,8MB,38 W,"Mar 30th, 2009"
Intel,Xeon L5518,Gainestown,4 / 8,2.133 to 2.4 GHz,Socket 1366,45 nm,8MB,60 W,"Mar 30th, 2009"
Intel,Xeon L5520,Gainestown,4 / 8,2.266 to 2.533 GHz,Socket 1366,45 nm,8MB,60 W,"Mar 30th, 2009"
Intel,Xeon L5530,Gainestown,4 / 8,2.4 to 2.666 GHz,Socket 1366,45 nm,8MB,60 W,"Aug 9th, 2009"
Intel,Xeon W3503,Bloomfield,2,2.4 GHz,Socket 1366,45 nm,4MB,130 W,"Mar 30th, 2009"
Intel,Xeon W3505,Bloomfield,2,2.533 GHz,Socket 1366,45 nm,4MB,130 W,"Mar 30th, 2009"
Intel,Xeon W3520,Bloomfield,4 / 8,2.666 to 2.933 GHz,Socket 1366,45 nm,8MB,130 W,"Mar 30th, 2009"
Intel,Xeon W3540,Bloomfield,4 / 8,2.933 to 3.2 GHz,Socket 1366,45 nm,8MB,130 W,"Mar 30th, 2009"
Intel,Xeon W3550,Bloomfield,4 / 8,3.066 to 3.333 GHz,Socket 1366,45 nm,8MB,130 W,"Aug 9th, 2009"
Intel,Xeon W3565,Bloomfield,4 / 8,3.2 to 3.466 GHz,Socket 1366,45 nm,8MB,130 W,"Nov 1st, 2009"
Intel,Xeon W3570,Bloomfield,4 / 8,3.2 to 3.466 GHz,Socket 1366,45 nm,8MB,130 W,"Mar 30th, 2009"
Intel,Xeon W3580,Bloomfield,4 / 8,3.333 to 3.6 GHz,Socket 1366,45 nm,8MB,130 W,"Aug 9th, 2009"
Intel,Xeon W5580,Gainestown,4 / 8,3.2 to 3.466 GHz,Socket 1366,45 nm,8MB,130 W,"Mar 30th, 2009"
Intel,Xeon W5590,Gainestown,4 / 8,3.333 to 3.6 GHz,Socket 1366,45 nm,8MB,130 W,"Aug 9th, 2009"
